cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/;Водонагреватели;https://www.ozon.ru/category/vodonagrevateli-10719/
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/;Обогреватели и тепловентиляторы;https://www.ozon.ru/category/obogrevateli-i-teploventilyatory-10712/
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/;Кондиционеры и сплит-системы;https://www.ozon.ru/category/konditsionery-i-split-sistemy-10726/
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/;Вентиляторы;https://www.ozon.ru/category/ventilyatory-10724/
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/;Увлажнители воздуха и аромадиффузоры;https://www.ozon.ru/category/uvlazhniteli-vozduha-i-aromadiffuzory-10723/
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/;Очистители и мойки воздуха;https://www.ozon.ru/category/ochistiteli-vozduha-10725/
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/;Охладители воздуха;https://www.ozon.ru/category/ohladiteli-vozduha-1648/
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/;Осушители воздуха;https://www.ozon.ru/category/osushiteli-vozduha-10717/
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/;Погодные станции и датчики;https://www.ozon.ru/category/pogodnye-stantsii-i-datchiki-10730/
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/;Сушилки для рук и тела;https://www.ozon.ru/category/sushilki-dlya-ruk-10710/
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Климатическая техника;https://www.ozon.ru/category/klimaticheskaya-tehnika-10711/;Аксессуары и запчасти;https://www.ozon.ru/category/rashodnye-materialy-dlya-klimaticheskoy-tehniki-10734/
Бытовая техника;https://www.ozon.ru/category/bytovaya-tehnika-10500/;Техника для кухни;https://www.ozon.ru/category/tehnika-dlya-kuhni-10523/;Техника для кухни;https://www.ozon.ru/category/tehnika-dlya-kuhni-10523/
