cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Аксессуары для волос;https://www.ozon.ru/category/aksessuary-dlya-volos-zhenskie-17047/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Бижутерия;https://www.ozon.ru/category/bizhuternye-ukrasheniya-zhenskie-17022/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Галстуки и бабочки;https://www.ozon.ru/category/galstuki-i-babochki-zhenskie-35308/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Головные уборы;https://www.ozon.ru/category/golovnye-ubory-zhenskie-17011/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Зонты;https://www.ozon.ru/category/zonty-i-chehly-zhenskie-39417/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Кошельки, ключницы и визитницы;https://www.ozon.ru/category/koshelki-klyuchnitsy-i-vizitnitsy-zhenskie-17041/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Носовые платки;https://www.ozon.ru/category/nosovye-platki-zhenskie-17059/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Обложки для документов;https://www.ozon.ru/category/oblozhki-dlya-dokumentov-zhenskie-17058/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Очки;https://www.ozon.ru/category/ochki-zhenskie-17018/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Перчатки и варежки;https://www.ozon.ru/category/perchatki-i-varezhki-zhenskie-17060/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Платки и шарфы;https://www.ozon.ru/category/platki-i-sharfy-zhenskie-17054/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Повязки на лицо;https://www.ozon.ru/category/povyazki-na-litso-zhenskie-32990/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Ремни, пояса и портупеи;https://www.ozon.ru/category/remni-poyasa-i-portupei-zhenskie-31983/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Сумки и рюкзаки;https://www.ozon.ru/category/sumki-zhenskie-17001/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Часы и аксессуары;https://www.ozon.ru/category/chasy-zhenskie-17037/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Спортивные аксессуары;https://www.ozon.ru/category/sportivnye-aksessuary-zhenskie-33020/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Свадебные аксессуары;https://www.ozon.ru/category/svadebnye-aksessuary-32988/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Женщинам;https://www.ozon.ru/category/zhenskie-aksessuary-17000/;Аксессуары для военной формы;https://www.ozon.ru/category/aksessuary-dlya-voennoy-formy-zhenskie-38006/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Бижутерия;https://www.ozon.ru/category/bizhuternye-ukrasheniya-muzhskie-17083/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Галстуки и бабочки;https://www.ozon.ru/category/galstuki-i-babochki-muzhskie-17102/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Головные уборы;https://www.ozon.ru/category/golovnye-ubory-muzhskie-17073/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Зонты;https://www.ozon.ru/category/zonty-i-chehly-muzhskie-39418/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Кошельки, ключницы и визитницы;https://www.ozon.ru/category/koshelki-klyuchnitsy-i-vizitnitsy-muzhskie-17093/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Носовые платки;https://www.ozon.ru/category/nosovye-platki-muzhskie-17103/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Обложки для документов;https://www.ozon.ru/category/oblozhki-dlya-dokumentov-muzhskie-17101/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Очки;https://www.ozon.ru/category/ochki-muzhskie-17079/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Перчатки и варежки;https://www.ozon.ru/category/perchatki-i-varezhki-muzhskie-17104/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Платки и шарфы;https://www.ozon.ru/category/platki-i-sharfy-muzhskie-17100/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Повязки на лицо;https://www.ozon.ru/category/povyazki-na-litso-muzhskie-33773/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Ремни и подтяжки;https://www.ozon.ru/category/remni-i-podtyazhki-muzhskie-31984/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Спортивные аксессуары;https://www.ozon.ru/category/sportivnye-aksessuary-33004/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Сумки и рюкзаки;https://www.ozon.ru/category/sumki-muzhskie-17064/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Часы и аксессуары;https://www.ozon.ru/category/chasy-i-remeshki-muzhskie-17089/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Мужчинам;https://www.ozon.ru/category/muzhskie-aksessuary-17063/;Аксессуары для военной формы;https://www.ozon.ru/category/aksessuary-dlya-voennoy-formy-32933/
Аксессуары;https://www.ozon.ru/category/aksessuary-7697/;Детям;https://www.ozon.ru/category/detskie-aksessuary-17108/;Детям;https://www.ozon.ru/category/detskie-aksessuary-17108/
